time,Var1,m,water_free,runoff,water_leach,waterF_1_,waterF_2_,waterF_3_,waterF_4_,waterF_5_,waterF_6_,waterF_7_,waterF_8_,waterF_9_,wpotent_1_,wpotent_2_,wpotent_3_,wpotent_4_,wpotent_5_,wpotent_6_,wpotent_7_,wpotent_8_,wpotent_9_,wpotent_10_
14-Jun-2018,12708.5,12708.5,0,0,0,-0.0011619081875,-0.0007941288375,-0.000471755116666667,-0.000533007870833333,-0.000426883683333333,-0.000255754320833333,-7.6694625e-05,0,0,-435.972802480071,-351.347785949708,-296.726268768317,-217.125235875458,-196.516348520913,-176.227587382,-155.597375233958,-124.33793703715,-20.7470054626,-76.4156490961667
15-Jun-2018,12732.5,12732.5,0,0,0,-0.00113423664583333,-0.000764170079166667,-0.000497375833333333,-0.000575456466666667,-0.0004586041625,-0.000266384508333333,-7.65813416666667e-05,0,0,-449.216074625642,-357.546585083017,-300.822762807208,-217.591824849454,-196.925991058342,-176.611899058025,-155.947325388592,-124.58687496185,-20.7470054626,-76.4168723424333
16-Jun-2018,12756.5,12756.5,0,0,0,0.0006772649625,-0.000631410816666667,-0.000517832983333333,-0.000553623991666667,-0.000444624425,-0.000270109408333333,-7.65473375e-05,0,0,-370.387335459388,-356.032362620033,-304.087455749508,-217.9382610321,-197.290480295813,-176.982360839854,-156.300155003871,-124.829310417171,-20.7470054626,-76.4178619384792
17-Jun-2018,12780.5,12780.5,0,0,0,0.000313536120833333,-0.000280456020833333,-0.0005064156,-0.000547314708333333,-0.000431338766666667,-0.000259797070833333,-7.64120041666667e-05,0,0,-336.7694753011,-335.179393768312,-303.777734120692,-218.237672805775,-197.591073989867,-177.289117177325,-156.625364939379,-125.062871297208,-20.7470054626,-76.4185555776
18-Jun-2018,12804.5,12804.5,0,0,0,-0.000897073104166667,-0.000346071308333333,-0.0004863720625,-0.000565831475,-0.0004529724875,-0.000265424479166667,-7.62994625e-05,0,0,-393.211900075275,-337.697349548338,-302.869842529304,-218.658580780025,-197.981910069792,-177.660998662317,-156.974491119383,-125.309860229492,-20.7470054626,-76.419658343
19-Jun-2018,12828.5,12828.5,0,0,0,-0.00115044705416667,-0.000502338833333333,-0.000481201266666667,-0.0005746122125,-0.000466643266666667,-0.000274371608333333,-7.62848666666667e-05,0,0,-427.600533803296,-347.895118713387,-303.645655314138,-219.099312464392,-198.4030863444,-178.068156560258,-157.349167505904,-125.563431104025,-20.7470054626,-76.4209400812833
20-Jun-2018,12852.5,12852.5,0,0,0,-0.00109590182916667,-0.000604088845833333,-0.000488312116666667,-0.000559792395833333,-0.000457411908333333,-0.0002762981375,-7.63186458333333e-05,0,0,-445.939506530771,-357.306826273596,-305.640453338613,-219.480979283667,-198.794469833379,-178.462034225467,-157.728404998775,-125.814338684083,-20.7470054626,-76.4221083323125
21-Jun-2018,12876.5,12876.5,0,0,0,-0.001005149675,-0.000654229091666667,-0.0005001376125,-0.000549622125,-0.000441456754166667,-0.000268608816666667,-7.62835833333333e-05,0,0,-457.150751749679,-364.849114735921,-308.065771738687,-219.815302530929,-199.134056727096,-178.8096033732,-158.087406794233,-126.058219273883,-20.7470054626,-76.4230270385791
22-Jun-2018,12900.5,12900.5,0,0,0,-0.000945140483333333,-0.0006587944375,-0.000511479070833333,-0.000593059558333333,-0.000471389654166667,-0.000273035708333333,-7.6239125e-05,0,0,-466.623329162608,-370.7106628418,-310.975358327233,-220.301127751663,-199.556344350183,-179.205464680983,-158.461711883542,-126.312699635817,-20.7470054626,-76.4242474238042
23-Jun-2018,12924.5,12924.5,0,0,0,-0.0009067693625,-0.000659379220833333,-0.000523275995833333,-0.000587158358333333,-0.000471944416666667,-0.000279738791666667,-7.6273275e-05,0,0,-476.950974782313,-376.289797465004,-313.795464833579,-220.725139617912,-199.978235880525,-179.622323354087,-158.850057601933,-126.567486763,-20.7470054626,-76.4254471461
24-Jun-2018,12948.5,12948.5,0,0,0,-0.000859268004166667,-0.0006545998125,-0.000533023458333333,-0.000594287316666667,-0.000474008775,-0.000280100916666667,-7.63119458333333e-05,0,0,-484.589143117271,-381.2158533732,-316.424006144212,-221.1486237844,-200.383172988887,-180.021150588988,-159.237460454313,-126.820359865821,-20.7470054626,-76.4265572230083
25-Jun-2018,12972.5,12972.5,0,0,0,-0.000799864520833333,-0.000644364116666667,-0.000541092341666667,-0.000591299379166667,-0.000468522270833333,-0.000278176983333333,-7.63332458333333e-05,0,0,-488.278090159096,-385.246217091871,-318.7874361674,-221.541224797575,-200.770458221438,-180.408201853437,-159.619578043613,-127.070838610338,-20.7470054626,-76.427560806275
26-Jun-2018,12996.5,12996.5,0,0,0,-0.0007993704,-0.000630522491666667,-0.000546221708333333,-0.000620549925,-0.00048969165,-0.0002825309625,-7.63666916666667e-05,0,0,-498.168857574467,-389.056955973304,-321.176387786871,-222.032032012937,-201.212060292567,-180.828367233275,-160.016366322837,-127.328891118362,-20.7470054626,-76.4287700653083
27-Jun-2018,13020.5,13020.5,0,0,0,-0.0007652816625,-0.0006201893375,-0.000550406341666667,-0.000642226666666667,-0.0005130276375,-0.0002944073875,-7.64991541666667e-05,0,0,-505.189392089846,-393.389592488604,-323.672358194996,-222.5733203888,-201.711762746179,-181.303780873625,-160.4451522827,-127.59620634715,-20.7470054626,-76.4302221934042
28-Jun-2018,13044.5,13044.5,0,0,0,-0.000690104645833333,-0.000604135054166667,-0.000553737158333333,-0.000642596504166667,-0.000517444758333333,-0.000301443420833333,-7.6709875e-05,0,0,-503.804051717121,-396.766281127933,-325.954696655271,-223.074717203779,-202.199799219775,-181.782118479408,-160.889561971029,-127.863938331608,-20.7470054626,-76.4316441218125
29-Jun-2018,13068.5,13068.5,0,0,0,-0.000656304108333333,-0.000586840804166667,-0.000555155079166667,-0.0006391896375,-0.000514899341666667,-0.000302623854166667,-7.69324708333333e-05,0,0,-505.548431396475,-399.328179677317,-327.925303141275,-223.550974527996,-202.668195088708,-182.246489842737,-161.336688995362,-128.130798339837,-20.7470054626,-76.4329837163333
30-Jun-2018,13092.5,13092.5,0,0,0,-0.000620153495833333,-0.000571354358333333,-0.000554906683333333,-0.0006348971,-0.0005116851375,-0.000301949820833333,-7.713875e-05,0,0,-505.756938934321,-401.530118306475,-329.669675191246,-224.020143508908,-203.130908330279,-182.705799738571,-161.784126281729,-128.398342132571,-20.7470054626,-76.4342915217042
01-Jul-2018,13116.5,13116.5,0,0,0,-0.0005991436875,-0.000560146933333333,-0.000553808458333333,-0.000612633970833333,-0.0004925339625,-0.000295792729166667,-7.7288475e-05,0,0,-506.973161061613,-403.306547800704,-331.031590779625,-224.415492375688,-203.546538670846,-183.131875991825,-162.215710322062,-128.660744349162,-20.7470054626,-76.4353911081917
02-Jul-2018,13140.5,13140.5,0,0,0,-0.000501684833333333,-0.0005471654875,-0.000551162483333333,-0.0006043125375,-0.000483123175,-0.000289303016666667,-7.73592625e-05,0,0,-494.580927530921,-404.531915028887,-332.235946655267,-224.823467254633,-203.955671310421,-183.543704986579,-162.634840011604,-128.922972361246,-20.7470054626,-76.4364452362042
03-Jul-2018,13164.5,13164.5,0,0,0,-0.000504415829166667,-0.00052296505,-0.0005467280625,-0.000596169383333333,-0.000472489841666667,-0.000282261941666667,-7.73532791666667e-05,0,0,-493.488627115879,-403.843250274667,-333.113184611,-225.211720148721,-204.345392862954,-183.937520980833,-163.038599650067,-129.183188120521,-20.7470054626,-76.4374068578041
04-Jul-2018,13188.5,13188.5,0,0,0,-0.000568865579166667,-0.000516868441666667,-0.000540892704166667,-0.0006097514125,-0.000485793595833333,-0.000284345104166667,-7.73382166666667e-05,0,0,-507.414433797196,-405.408330281575,-334.1699256897,-225.698774973546,-204.800609588621,-184.375580469767,-163.457181930537,-129.453166325883,-20.7470054626,-76.4386307398458
05-Jul-2018,13212.5,13212.5,5.04816814263333,0,0,0.0388493277958333,0.0127782928666667,-0.000385032058333333,-0.000539339916666667,-0.000456641445833333,-0.000280340054166667,-7.73087041666667e-05,0,0,-377.547505060825,-330.914066950479,-312.516941706346,-225.988657633463,-205.185148874917,-184.780671437575,-163.862855911254,-129.715799331671,-20.7470054626,-76.4396003087375
06-Jul-2018,13236.5,13236.5,3.13975898922083,0,0,0.0183715086958333,0.0184557835041667,0.00905341475,0.00419056236666667,0.00116042964166667,-7.465205e-05,-7.67039125e-05,0,0,-177.590868631996,-183.849547704063,-194.556639353438,-217.5515906016,-203.390165964771,-184.394727706912,-164.148341496779,-129.969031016038,-20.7470054626,-76.4402761459417
07-Jul-2018,13260.5,13260.5,0,0,0,-0.00621133548333333,0.00154247460833333,0.0059151688875,0.00592126196666667,0.00339212147083333,0.0007823944125,-7.10296333333333e-05,0,0,-233.931998570762,-209.421498616538,-198.95150438945,-210.994818369546,-198.265690485646,-180.956841150925,-163.483091354363,-130.220720291137,-20.7470054626,-76.4411271413208
08-Jul-2018,13284.5,13284.5,0,0,0,-0.00500211883333333,-0.00111432794583333,0.001301238925,0.00239999600416667,0.00217315021666667,0.00111983425833333,-5.98947375e-05,0,0,-270.774303436279,-235.917660395304,-214.067066828404,-213.9497610728,-196.72507540385,-178.310192108142,-161.736188252771,-130.449851989733,-20.7470054626,-76.44208749135
09-Jul-2018,13308.5,13308.5,0,0,0,-0.00453529866666667,-0.00198364420833333,0.000212582720833333,0.00048551405,0.000782705604166666,0.000777909366666667,-5.0016625e-05,0,0,-303.094198862721,-255.705198923742,-224.707798639938,-216.768234888708,-197.336804072067,-177.896543502804,-160.152864456171,-130.651142120371,-20.7470054626,-76.4431835810333
10-Jul-2018,13332.5,13332.5,0,0,0,-0.00359027215,-0.00184093113333333,0.000104922008333333,0.000140189008333333,0.000305627195833333,0.000396374508333333,-4.40014375e-05,0,0,-325.907208760579,-272.025329589842,-236.453222910563,-217.74930381775,-197.916315714513,-178.136255264283,-159.248929977417,-130.829687118529,-20.7470054626,-76.4443009694416
11-Jul-2018,13356.5,13356.5,0.122321791945833,0,0,0.0244977095166667,0.0074032904,0.000451862608333333,7.78395375e-05,9.86907333333334e-05,0.0001630906875,-4.07126875e-05,0,0,-263.484145482379,-247.960533142087,-238.216939926146,-218.216662724804,-198.310943603521,-178.382512410479,-158.83328755695,-130.992410024004,-20.7470054626,-76.4453392028875
