"","swc.1.","swc.2.","swc.3.","swc.4.","swc.5.","swc.6.","swc.7.","swc.8.","swc.9.","swc.10.","duplicate_swc.1.","duplicate_swc.2.","duplicate_swc.3.","duplicate_swc.4.","time"
"95",0.0900649354,0.1154467687,0.1112192869,0.0687067509,0.1467885822,0.1925283819,0.1280121654,0.0751486719,0.0769341365,0.1613709629,0.0900649354,0.1154467687,0.1112192869,0.0687067509,2018-04-05
"96",0.0866688341,0.1131113917,0.109825246,0.0686611459,0.1466975361,0.1924483627,0.1279564649,0.075046964,0.0768968835,0.1613789648,0.0866688341,0.1131113917,0.109825246,0.0686611459,2018-04-06
"97",0.0860125199,0.1116882637,0.1086519733,0.068613492,0.14659971,0.1923624873,0.1278940886,0.0749499425,0.0768604353,0.1613900661,0.0860125199,0.1116882637,0.1086519733,0.068613492,2018-04-07
"98",0.0845444575,0.1105055809,0.1076300442,0.0685429126,0.1464384496,0.1922169179,0.1277927011,0.0748501942,0.0768239424,0.161394462,0.0845444575,0.1105055809,0.1076300442,0.0685429126,2018-04-08
"99",0.0805522054,0.1090906784,0.1067999527,0.0684788749,0.1462819129,0.1920673698,0.1276748776,0.0747540668,0.0767882094,0.1614014804,0.0805522054,0.1090906784,0.1067999527,0.0684788749,2018-04-09
"100",0.0778185204,0.1076129302,0.105983682,0.0684054047,0.1461014599,0.1918960363,0.1275373995,0.0746583566,0.0767528638,0.161406979,0.0778185204,0.1076129302,0.105983682,0.0684054047,2018-04-10
"101",0.0759141743,0.1062796414,0.1051702797,0.0683180094,0.1458819807,0.1916858852,0.1273695081,0.0745607987,0.0767176598,0.1614084244,0.0759141743,0.1062796414,0.1051702797,0.0683180094,2018-04-11
"102",0.0746418238,0.1052445024,0.1044580564,0.0682288632,0.1456518024,0.1914615929,0.1271827966,0.0744640976,0.0766829252,0.1614098102,0.0746418238,0.1052445024,0.1044580564,0.0682288632,2018-04-12
"103",0.1376493126,0.1163179427,0.1043948755,0.0681689456,0.145480901,0.191283837,0.1270140111,0.0743755624,0.0766495541,0.1614215374,0.1376493126,0.1163179427,0.1043948755,0.0681689456,2018-04-13
"104",0.1369706839,0.1318656504,0.1108403653,0.0681780502,0.1453558058,0.1911209822,0.1268442571,0.0742857084,0.076616399,0.1614305675,0.1369706839,0.1318656504,0.1108403653,0.0681780502,2018-04-14
