year,doy,hour,Tair,Tsoil,Relhumid,VPD,Rain,Windspeed,Solradiation
2018,14,9,8.0935625,8.0935625,29.159375,1.082945148,0,0.39875,615.025
2018,14,10,9.49375,9.49375,26.72,1.186433484,0,1.159625,886.075
2018,14,11,9.01,9.01,29.53875,1.148505452,0,1.366125,1048.75
2018,14,12,9.85,9.85,27.761875,1.215433956,0,1.7515,1093
2018,14,13,10.324375,10.324375,25.583125,1.254399745,0,2.085,1015
2018,14,14,10.91375,10.91375,24.528125,1.304534557,0,2.238875,820.825
2018,14,15,10.743125,10.743125,25.0075,1.290122551,0,1.849625,378.275
2018,14,16,8.96625,8.96625,28.145625,1.145500213,0,1.8715,58.0025
2018,14,17,6.751125,6.751125,32.70375,0.985511467,0,1.248625,9.411
2018,14,18,5.1318125,5.1318125,36.304375,0.880348808,0,0.9635,0
2018,14,19,4.777875,4.777875,37.233125,0.858791826,0,1.147875,0
2018,14,20,4.3219375,4.3219375,36.78875,0.831997972,0,0.964125,0
2018,14,21,3.473,3.473,37.1575,0.783859126,0,0.85925,0
2018,14,22,4.00475,4.00475,30.83625,0.813757071,0,1.469,0
2018,14,23,3.4214375,3.4214375,28.17875,0.780861706,0,1.0925,0
2018,15,0,2.2219375,2.2219375,30.791875,0.717295626,0,1.065375,0
2018,15,1,1.310125,1.310125,31.87,0.672661747,0,1.153125,0
2018,15,2,0.3196875,0.3196875,34.4125,0.625441236,0,2.326625,0
2018,15,3,1.2748125,1.2748125,30.70375,0.670515796,0,1.902625,0
2018,15,4,1.625875,1.625875,28.380625,0.687413894,0,1.580375,0
2018,15,5,2.56325,2.56325,25.576875,0.735070466,0,1.401,0
2018,15,6,-0.0515,-0.0515,39.059375,0.610206148,0,1.301,0
2018,15,7,-2.6335,-2.6335,68.978125,0.503943798,0,2.156375,29.82975
2018,15,8,-2.7700625,-2.7700625,81.828125,0.498661335,0,1.931625,126.65
2018,15,9,-1.7021875,-1.7021875,76.800625,0.539520441,0,1.48925,192.275
2018,15,10,-1.622625,-1.622625,76.11625,0.542700843,0,1.33325,155.05
2018,15,11,-2.081875,-2.081875,78.59625,0.524604395,0,1.421375,184.925
2018,15,12,-1.896375,-1.896375,75.62375,0.5318529,0,1.074125,197.825
2018,15,13,-2.749,-2.749,87.15625,0.499430224,0,1.092625,159.475
2018,15,14,-3.6443125,-3.6443125,91.9,0.467080966,0,1.3595,116.25
2018,15,15,-4.83475,-4.83475,95.025,0.427164425,0,1.744625,84.945
2018,15,16,-5.99425,-5.99425,94.7375,0.391149052,0,1.642625,30.3625
